	Tmin	Tmed	Tmax	Prec	Elevation
FRAP	0.2931998155900267	0.30743560436608985	0.3174934190166315	0.5145174089694952	0.16588811296486727
Phenolics	0.03636073059239776	0.02920102774517107	0.02440020202456889	0.03104966743634994	0.034764999526526855
Flavonoids	0.319662724530347	0.33156818030950963	0.33979764305564014	0.32719386880330403	0.1879559836545366
