	FRAP	Phenolics	Flavonoids
FRAP	1.0	0.9038540373823852	0.8222663519586428
Phenolics	0.9038540373823852	1.0	0.8560176169803337
Flavonoids	0.8222663519586428	0.8560176169803337	1.0
