	Tmin	Tmed	Tmax	Prec	Elevation
FRAP	0.00699026220258582	0.047353601258920255	0.1067137979208574	0.6465540267615708	0.35807698633484847
Phenolics	0.04551648732132396	0.11367778247954709	0.18978721384607072	0.6067495827347215	0.3672819036334923
Flavonoids	0.24717869509121262	0.3770017731847239	0.49275193548751123	0.9601424910951537	0.3573753827371022
