	Tmin	Tmed	Tmax	Prec	Elevation
FRAP	0.09140858845445116	0.11950229471869188	0.14239533663310838	0.28751628055560235	0.11106548266764905
Phenolics	0.008681027550319098	0.013712979488651156	0.01817214469251249	0.0902699474856869	0.02665265563387297
Flavonoids	0.016127876749710557	0.008694534508484375	0.00455515037760445	0.13161537050662545	0.03240745576460906
