Code	Gallic acid	3-Hydroxytyrosol	Vanillic acid	Epicatechin	Rosmarinic acid	4-Hydroxybenzoic acid	Chlorogenic acid	Caffeic acid	Syringic acid	p-Coumaric acid	Resveratrol	Salicylic acid	Quercetin 3-glucoside	Myricetin	Quercetin dihydrate	5,7-Dimethoxycoumarin	Genistein	Kaempferol	Caffeic acid 1,1-dMAE	Chrysin	Caffeic acid PhEE
Foevul1	0.0	0.10499052920483978	0.16574764839442102	0.6689349560650439	0.09323116219667944	0.8255086497660754	0.0791268758526603	0.16574618801776925	0.080649992511607	0.33844723384472336	0.025116610677429492	0.7130105460720351	0.0030184845306764547	0.09317218363849555	0.07236949858443108	0.014904440526134452	0.10787346030712464	0.022618357996734954	0.0034948988597451203	0.019626847589047734	0.08039986329460014
Foevul2	0.0	0.17653046761245764	0.39379932965726033	1.0000000000000002	0.09837932024513152	0.7628930475465128	0.47139933736113815	0.3938047784848121	0.10055039688482852	0.41785216178521617	0.042028179906711455	1.0	0.005135684320922915	0.09832510460743292	0.3836542736142633	0.05040432905697088	0.1726083889521949	0.09363315603770606	0.011067179722526212	0.04022292221952992	0.04235731373889269
Foevul3	0.0	0.09924362493074079	0.20750891988323064	0.4164983335016665	0.05091726315997901	0.5410727885975409	0.279916195673358	0.20752791451554808	0.05874644301332935	0.32608089260808926	0.04095874519660681	0.2913687550272589	0.07382341373885684	0.05085470253057832	0.16909614169727882	0.029452179728825925	0.164550436811547	0.0629838327452736	0.008719596145020653	0.079718924157984	0.04005041011619959
Orivul1	1.0	0.43936758282113725	0.5357606227700292	0.401992223007777	0.02681992337164751	0.6026275704493526	0.9999999999999999	0.5357786048745348	0.06423169087913733	0.6887029288702928	0.9999999999999999	0.06727813030655108	0.5686713424226534	0.026760679369884827	1.0	0.6577410267323321	0.6557870747191925	0.3611564590025805	0.048487308927878	0.20038769081657376	0.12066387559808613
Orivul2	0.537997366881217	0.3374309018516371	0.38628500378419295	0.21953590546409452	0.6958131614640569	0.3857306060276357	0.5424868446696549	0.386300876455757	0.16714093155608806	0.3257089725708972	0.6058861203083838	0.5030386987219592	1.0	0.6957972713832495	0.6545543882636468	0.26374009444478225	0.7888382440718432	0.2953815366791301	0.813834857203375	0.3103949600193845	0.06965567327409433
Orivul3	0.4399502633118782	0.23091989124692364	1.0	0.23856176143823857	0.4478006474798777	0.33970732238058965	0.6889982459559539	1.0000000000000002	0.2381308971094803	0.19098093909809388	0.6334074485825458	0.3534408794351595	0.746696381751442	0.44777079305571355	0.6098411287114812	0.21222512717618208	0.6558955993271474	0.5695929222181264	1.0	0.40804458444390596	0.0692071086807929
Thyvul1	0.06824166179052076	0.038604765034081966	0.3400637906800736	0.1376123623876376	0.2887918659102835	0.8354640409095853	0.4972714870395634	0.34007683995677757	1.0000000000000002	0.9499767549976753	0.03524905140537013	0.03690454911073376	0.1981318825380178	0.2887478872631872	0.8035049954374225	1.0	1.0	0.4404128706093002	0.20766406608536028	0.91955415556094	0.3983680792891319
Thyvul2	0.571752486834406	0.02463695285219117	0.14198832306195266	0.10834764165235834	0.3336897442751493	0.9999999999999999	0.23606509452348468	0.1370512666586625	0.2498127901752284	0.9999999999999999	0.6571404403412523	0.004135758334078112	0.43395713162034605	0.33364575040882194	0.44879384169025943	0.6079406578707363	0.39595203212328395	1.0	0.28430472693896286	0.9999999999999999	0.7266105604921395
Thyvul3	0.04629900526623756	0.06105119383560762	0.6281760190290843	0.24305625694374303	1.0	0.5120226308345119	0.4953225492106802	0.6281666466562612	0.09265014227946683	0.5629009762900975	0.06864924958310173	0.13523549915095184	0.2584819087572103	1.0000000000000002	0.7783055289080231	0.2722725522385035	0.7357154484779423	0.8028332192321872	0.3853037737847284	0.9193118488005814	1.0
Valoff1	0.29304417788180215	0.7447395209195047	0.14544815655746568	0.5701949298050701	0.14669280346906652	0.4491350233924491	0.9827031767686611	0.14545563693120422	0.07325520443312865	0.25383542538354253	0.03263890567223337	0.076633300563053	0.2599305191400105	0.1466386406327818	0.5798685041765133	0.27134837153685576	0.970915405068099	0.14060772025909737	0.03018321742507149	0.4986673128180276	0.020185406698564595
