Code	Gallic acid	3-Hydroxytyrosol	Vanillic acid	Epicatechin	Rosmarinic acid	4-Hydroxybenzoic acid	Chlorogenic acid	Caffeic acid	Syringic acid	p-Coumaric acid	Resveratrol	Salicylic acid	Quercetin 3-glucoside	Myricetin	Quercetin dihydrate	5,7-Dimethoxycoumarin	Genistein	Kaempferol	Caffeic acid 1,1-dMAE	Chrysin	Caffeic acid PhEE
Foevul1	0.0	151755	92445	795825	141615	456225	25425	41625	65.07	54735	63225	4788.69	13815	357.54	46395	55155	59.64	12885	2.97	1215	56.46
Foevul2	0.0	235035	219.0	1189.17	149415	421695	146.19	98.61	81015	67545	105.21	6715365	23505	377.25	245955	186525	95.43	53.34	9405	2.49	29745
Foevul3	0.0	145065	115.62	495.9	77505	299.37	87.24	52065	47.52	52.74	102555	1958.04	337875	195675	108405	108.99	90975	35.88	7.41	4935	28125
Orivul1	410.16	541005	297.78	478665	40995	333315	308925	134085	51915	111.24	2483.49	453.63	2602695	103515	641085	2434.02	362565	205.74	41205	12405	84735
Orivul2	220665	422.34	214.83	261885	1054.59	213705	168075	96735	134.37	52.68	1505055	3379065	4576.8	2662.59	419625	975.99	436125	168.27	691605	19215	48915
Orivul3	180.45	298.35	555405	284.49	678825	188325	213.18	250.08	191.25	30945	1573.38	2374755	3417.48	1713885	390.96	785355	362625	324.48	849.81	25.26	48.6
Thyvul1	27.99	74475	189.18	164.55	437.91	461715	154155	85185	801.69	153.39	88.38	249.72	906.81	1105.62	515115	3700575	552.87	250.89	176475	56925	279.75
Thyvul2	234.51	58215	79.26	129.78	505935	552.45	73.74	34455	200.61	161.46	1632.3	29.73	1986135	1277355	287715	2249.73	218.91	569.67	241605	61905	510255
Thyvul3	18.99	100605	349065	289.83	1515465	283.35	153555	157.17	74685	90945	171.3	909855	1183.02	3826.17	498.96	1007565	406755	457.35	327435	56.91	702.24
Valoff1	120195	896.49	81.18	678.51	222615	248.67	303.6	36555	59145	41085	81.9	516435	1189.65	562.05	371745	1004145	536.79	80.1	25.65	30.87	14175
Valoff2	0.0	902.94	30.57	663735	120.75	99525	137.16	13.77	22155	19.2	61305	129.06	325185	304875	269.94	213945	34335	47925	29565	11.04	16995
Valoff3	27915	323745	164865	416.49	136065	35475	304935	70995	29.61	40545	94335	2775	51075	343.53	66135	506475	38055	23175	11.88	20085	7065
Pruavi1	11955	485.34	28185	19.23	1005	14865	10.71	0.72	2.34	0.24	0.87	3.6	1395	2.55	2655	0.0	0.36	0.66	555	0.27	0.54
Pruavi2	0.0	735.93	106.86	125.67	55095	84975	54.36	50.43	141645	36.57	117765	159.57	95655	139095	8865	29895	6.48	1.14	1.68	0.0	465
Pruavi3	25425	1193.64	68865	166035	11.94	75.99	93915	31005	105315	15.69	36915	34185	51.54	29415	3.48	0.0	825	795	2265	315	1.5
Ficcar1	60165	71925	8.55	49005	0.45	22.95	7.08	3855	3105	1605	21.87	2.31	9.99	1155	855	0.0	0.0	0.69	0.0	0.0	885
Ficcar2	116.34	29535	3525	4335	1.11	8.79	1065	1.59	0.45	135	6.81	3.21	5.55	2.82	0.63	2.07	1.11	1305	2775	0.0	1905
Ficcar3	19.47	62505	23235	40845	3.42	18645	11895	10455	3795	0.63	3135	1965	3345	8625	0.69	885	0.33	1.53	1.17	0.21	0.93
Prudom1	33.93	975885	77.1	141.9	9.15	45225	119.55	16.05	30315	7155	51795	27.06	59.16	23115	1665	1095	1.29	0.42	0.69	0.0	615
Prudom2	24.9	120255	11985	14505	0.36	36885	15.24	5.4	3315	135	4.32	39075	29.55	79.14	4.8	1.08	0.0	855	0.0	0.0	0.0
Prudom3	9.36	191685	465	1.05	525	0.99	16.62	0.21	1245	2.22	0.99	18315	0.0	1335	0.0	0.0	0.0	0.0	0.0	0.0	0.0
