Code	Gallic acid	3-Hydroxytyrosol	Vanillic acid	Epicatechin	Rosmarinic acid	4-Hydroxybenzoic acid	Chlorogenic acid	Caffeic acid	Syringic acid	p-Coumaric acid	Resveratrol	Salicylic acid	Quercetin 3-glucoside	Myricetin	Quercetin dihydrate	5,7-Dimethoxycoumarin	Genistein	Kaempferol	Caffeic acid 1,1-dMAE	Chrysin	Caffeic acid PhEE	Year	Spec	Kind
Valoff3-21	84045	1701.84	197.82	2166465	153225	399.6	424725	89.07	93945	124.92	290.64	323.64	1339.65	496215	191235	288.99	71175	100.71	25425	12.78	14685	2021	V. officinalis	Arom
Pruavi1-21	58.56	756645	15.24	114.51	1515	70.65	49215	6855	16815	4.74	20715	5.34	3.66	3825	0.78	1.29	17.88	1.2	2475	0.18	2295	2021	P. avium	Fru
Pruavi2-21	95.94	1545165	62.49	210.93	20.1	125925	72705	28.14	206445	37665	65.31	95.55	68745	50745	2.64	855	18.69	795	3765	0.27	2.88	2021	P. avium	Fru
Pruavi3-21	98205	1423755	57.96	198.63	1005	37.26	66885	26.1	29535	13.68	13185	1125	3.9	3.51	26745	6555	14325	0.54	0.48	1845	0.75	2021	P. avium	Fru
Ficcar1-21	27045	26775	5.64	5505	0.3	9.36	13.02	2535	1635	1515	4.53	1.11	3045	0.75			40425	1065	2.67	2295	2415	2021	F. carica	Fru
Ficcar2-21	8.13	38595	7.71	11.46	765	10.98	11.97	3465	1755	0.72	4275	2.19	3.12	1.92			34935	2265	2445	195	2.58	2021	F. carica	Fru
Ficcar3-21		26.22	7.86	7545	0.51	9855	8.79	3.54	0.45	645	7.26	62595	4.8	3.0			18.96	0.78		1.47	2085	2021	F. carica	Fru
Prudom1-21		451.35	10365	18.12	0.3	33.87	17.88	3.36	5685	1275	1.44	12.72	4725	765	1395	1.77	43515	525	615	285	2385	2021	P. domestica	Fru
Prudom2-21		105.42	17085	8685	23.94	29625	12.21	7695	2.49	0.21	1.62	21675	28.23	60465	615	4.02	39735	435	2295	1.95	3075	2021	P. domestica	Fru
Prudom3-21		5755845	152.04	139.02	6765	3555	170.13	48195	62955	238695	48585	59205	51195	37.47	1005	14.37	7995	0.39		1.02	2.31	2021	P. domestica	Fru
