	med2020	std2020	med2021	std2021	Tstat	Pval
Jan	6.866129032258064	1.4980201988387982	4.4306451612903235	2.905129871433027	4.0302861155614575	0.000351326128838857
Feb	7.196428571428574	2.9150607823987764	7.033928571428572	4.809732678554333	0.1362111131270516	0.8926649250245106
Mar	7.837096774193547	3.5923522410331525	6.151612903225807	3.4394641993331785	1.9838288598704596	0.056491099196076665
Apr	10.969999999999999	4.188872780643235	9.475000000000001	4.231893478549892	1.4260773578957735	0.16452288645765817
May	16.188709677419357	4.029696218439204	15.540322580645162	2.6264811489531863	0.7562595393708187	0.4553916202760816
Jun	17.99	2.9343212808604218	21.876666666666665	5.046144539412608	-5.45337367508252	7.199841468143791e-06
Jul	22.42258064516129	3.116216688809189	24.403225806451612	3.525949883456252	-2.7514628678834483	0.009964454767797438
Aug	24.18064516129032	2.377136842904185	24.338709677419352	3.491363384062148	-0.20993949044866325	0.8351341838136171
Sep	19.811666666666667	3.012980061429998	19.863333333333333	1.9706874930851674	-0.07558503751079196	0.9402682658147794
Oct	13.674193548387096	2.6794237865550468	12.901612903225804	3.280332398578121	1.696895971415504	0.10006973239130043
