	med2020	std2020	med2021	std2021	Tstat	Pval
Jan	8.098387096774193	1.5861632887236496	6.9790322580645165	2.7871064503515823	1.9288700219324562	0.06325552881055006
Feb	9.846428571428572	3.1262605923059725	9.6875	4.279940831193642	0.17400016022696005	0.8631633998562771
Mar	10.154838709677424	3.788521145924658	9.066129032258067	3.4055197130730326	1.293871022135416	0.2055829819448072
Apr	13.311666666666667	3.717727414219173	11.503333333333334	3.5031496501383392	1.8904792672963684	0.06872452204552851
May	18.525806451612908	2.912870032795317	18.630645161290328	1.932644018754051	-0.18594946443823857	0.8537360238313294
Jun	21.758333333333336	3.1718341080824834	25.348333333333336	4.819920648462095	-5.508991790299244	6.171230193567317e-06
Jul	25.81935483870968	2.860177075501761	28.19193548387097	3.197970626668146	-4.945737054080139	2.715325259784915e-05
Aug	26.632258064516126	2.6373771183727452	27.833870967741934	3.643884993995058	-1.6183455443923445	0.11605547005453833
Sep	22.766666666666662	3.27551873578915	22.55333333333333	2.3973380831783975	0.2812458230149628	0.7805188955515912
Oct	16.43064516129032	2.850604538788069	15.309677419354838	3.1915361858839155	2.3179874372742844	0.027453702386649383
