Code	alpha-Pinene 	alpha-Thujene	alpha-Phellandrene 	beta-Bisabolene 	beta-Myrcene 	beta-Ocimene	beta-Sitosterol	(-)-beta-Bourbonene 	(+)-2-Bornanone 	Camphene 	Caryophyllene 	Copaene 	Crotonic acid	Cyclosativene	D-Limonene 	endo-Borneol 	Estragole 	Eucalyptol	8,11,14-Eicosatrienoic acid	Fenchone 	Fenchyl acetate 	gamma-Muurolene 	gamma-Terpinene	Germacrene D 	Heptacosanoic acid	Hexadecanoic acid	7-Hexadecenoic acid	Humulene	D-Viridiflorol	Isoborneol 	Isovaleric acid 	Linalool 	n-Hexadecanoic acid 	o-Cymene 	Origanene 	Octadecanoic acid	9-Octadecenoic acid 	9,12-Octadecadienoic acid	9,12,15-Octadecatrienoic acid	1-Octen-3-ol 	Phytol 	p-Cymene 	p-Menth-8-en-1-ol	Stigmasterol 	Terpinen-4-ol 	Thymol 	Tridecanoic acid	Valeric acid	Vitamin E	Spec	Year
Foevul1-20	8.71475623336125		4.77482846093962		3.99936196580419				0.866707020189852						5.34485351631721		30.0113926891855			8.95475483084872	0.16334184096059	0.304948068431105	19.3215206372663				0.305709579442146						5.33243770756663	2.758766664639		0.667834559113738	7.57036111942179	0.356264524157203			0.198621147303087			0.353539435052088						F. vulgare	2020
Foevul2-20	27.58739691537		6.1740983991249		3.98581361663093				1.3214475222911						6.33929067543927		33.7344726748171			2.26878651288656		0.318457825674341	4.24621872386816				0.361436690685729						5.99974661220046	1.87121179050834		0.88686955354408	2.6913495174884	0.498331790122057			1.12278638930548			0.592284790043158						F. vulgare	2020
Foevul3-20	30.62600810515		0.3224472130331		0.777704416467257				0.552801205086675								49.1116214631687			12.9741968358355		0.177577255990717	2.1181323154324				0.123245955710975						2.07439793944017			0.398474424679514	0.0892717326868124	0.217130390296162			0.292044957578767			0.144945789443207						F. vulgare	2020
Orivul1-20					3.34164890887137			3.63284630192183			3.51052097468289												2.2163472478047	0.614201032083616		7.25203169662654		1.75499059099825		3.79727545869922					3.28135821805299				5.74011390456133		8.31081428972417	52.9524999044982	0.216913614900271		1.68506667685352	1.69337117972107				O. vulgare	2020
Orivul2-20				10.9365912658002	2.02114971376788			0.773115019956115			15.5090182753612											1.41384002328176	28.5620110570181	2.25228742798796		4.70779080742928		4.29731819413843	0.570580087106819	0.37900955378299					1.44832226526764				4.50398463985239		4.35947249206954	9.44999575498404	1.19709450222761		0.592531586777888	4.96769020736109			2.05819712582908	O. vulgare	2020
Orivul3-21				6.72165359350109	2.7592435346935			0.586652374274189			11.5968128047294											1.14378336627928	32.4615293685147	1.61778103180016		2.47430340059092		3.32644707379355	0.467793224069148	0.326390754175388					3.39782135912235				2.19349440331531		1.82710743678896	21.7749127664815			0.529218741683573	5.29543662557604			1.4996181406109	O. vulgare	2020
Thyvul1-21		0.80105344261515		2.15521387228226	0.285123201390277	0.607513356058846			1.03502901917326	0.419171473878121	1.37468262481582				0.0708241251258535	9.07756453863906		3.02499411678279					2.46602364540263									0.679949939374955								3.53397838426502	1.37334078897918	37.7813612687768			0.611448656117582	32.821981120257	1.88074642606535			T. vulgare	2020
Thyvul2-21		0.299782684543437				0.106745432605219					1.33096058029121					0.148252430951829		0.780696453342901					5.7352439329107									1.18784108011146									1.35656944142583	8.93745906034394			0.259809986155872	78.849647168197	1.00699174912064			T. vulgare	2020
Thyvul3-21											5.11446370727699																					49.835242692126									17.821039186806						27.229254413791			T. vulgare	2020
Valoff1-21							2.18217248130434						3.81213693191914						1.3308038183292						0.250458152651244						46.7288304842725		1.62864927816897			1.02873884689242			2.87673422954116		15.8915711556927						0.469502863445508	20.3785011500224	3.42190060776037	V. officinalis	2020
Valoff2-21							1.35096869727685																		0.199985333372093						91.4740116564999		0.51195623267684						1.14144885946631		4.34443223820518						0.241078210092387	0.0240216874685149	0.712097084941907	V. officinalis	2020
Valoff3-21							6.80003463937492												16.0652540755091						2.42662217771626								22.2837395406072			19.5632089648999			8.81916571735323		16.7324447982807						2.19806928544807		5.11146080081068	V. officinalis	2020
Foevul1-21	11.5384828185277		2.97065255429423		1.26516164817092				1.40021771635736						2.83408879341705		67.3191840754455			3.6711210455918			3.03510987483384				0.456236107441778							4.69841304970268				0.321276863556578			0.484328986844344			0.00572646581618045						F. vulgare	2021
Foevul2-21	23.0044254980661				5.82692905549148				3.17094333020363						9.27032585352102		36.3883195711421			6.44529366343531		0.0853525211578926	5.25973463541534				1.40382671249106						0.00972250322794367	7.58191627802249			0.123516557378322	0.638457408985838			0.791236411461474									F. vulgare	2021
Foevul3-21	32.268125985912		0.840283086810436		8.61547374915818				2.72515112217312						23.9784021722867		0.0135864025907034			1.16275529007273			15.9090451551121				0.663022516300901						0.0016135749912265	12.2238978448202			0.0301419854944161	0.694110390583278			0.874390723693947									F. vulgare	2021
Orivul1-21				4.33922752014119	3.86065138399762			0.322538409710604			8.17936954845031	0.0354972759148696		0.0802160024758247								0.26908013293591	4.74078943295266	0.28875637262273		2.67835359615747		1.73932568080892	1.12943576075293	2.88194427711791					2.27599940636401						1.68799103305812	61.3561429604189	0.0405449787485993		2.88700014775557	1.20713607961583				O. vulgare	2021
Orivul2-21					3.0702078661369			0.419339329197068			10.4757725748294	0.24385356886304		0.276052389581232								1.25860859096036	50.6194991858423	1.61294873825246		3.62360322303196		3.69177416377125	0.663739753031545	0.591018978929897					1.08248847885946				0.898351472877306		3.52158195956073	16.6838014557717			0.628489481572737	0.638868788930605				O. vulgare	2021
Orivul3-21					3.04072058082511			0.301121863328069			12.1594958799546	0.254085098859957		0.306757448244494								1.33881637269821	50.8425411633222	1.74440874014717		3.29500088819874		3.91008594012378	0.932035779513851	0.267520536996554					0.967674064248893						4.28907053842667	15.7124690626333			0.590064412868383	0.0214814238305291			0.0266502057794791	O. vulgare	2021
Thyvul1-21		0.404635274929236				0.126234634896758			0.541989325973599	0.0695618412181373	1.31929782475516					1.33716134793966		0.0752748244518692					7.83238296696065									1.82730186754078								1.74857974540104	1.98136569783853	16.3675297553765			0.188851717959549	65.0657234131903	1.11410976156823			T. vulgare	2021
Thyvul2-21											3.48585560297601							3.4566381100456														29.8731126021308									27.3820082852462						35.8023853996014			T. vulgare	2021
Thyvul3-21		0.391633922976863			0.0680441554852341	0.190662722872355				0.0991295993655968	0.114421020119522					2.89181609069392		0.677825971077018					12.0200639687682									1.89151428309782								1.47028631185209	3.07445974142688	11.894887257877			0.384289774023409	63.6418243785045	1.18914080185962			T. vulgare	2021
Valoff1-21							0.437658870917986						1.05326373732762						0.0561776426313442						0.223328686681168						62.6658636566744					0.00551127791984537			5.72747771163612		11.9932154380486						5.44583352672933	11.4980701992116	0.893599252222008	V. officinalis	2021
Valoff2-21							0.202510121081296																								98.1493448813623										0.639654107801712						0.603603390338231	0.0174114235309969	0.387476075885488	V. officinalis	2021
Valoff3-21																																							12.7010180043079		61.7466223663488						15.3608962049926	10.1914634243508		V. officinalis	2021
